PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,TYPE HOGER ONDERWIJS,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,2014 Man,2014 Vrouw,2015 Man,2015 Vrouw,2016 Man,2016 Vrouw,2017 Man,2017 Vrouw,2018 Man,2018 Vrouw
Groningen,14,GRONINGEN,reguliere inst.,postmaster,21PC,Rijksuniversiteit Groningen,onderwijs,universitaire lerarenopleidingen,68535,M Leraar Voorbereidend Hoger Onderwijs in de Mens- en Maatschappijwetenschappen,voltijd onderwijs,master,0,0,0,0,0,0,0,0,7,5
Groningen,14,GRONINGEN,reguliere inst.,postmaster,21PC,Rijksuniversiteit Groningen,onderwijs,universitaire lerarenopleidingen,68536,M Educatie in de Taal- en cultuurwetenschappen,deeltijd onderwijs,master,0,0,0,0,0,0,0,0,1,0
Groningen,14,GRONINGEN,reguliere inst.,postmaster,21PC,Rijksuniversiteit Groningen,onderwijs,universitaire lerarenopleidingen,68536,M Educatie in de Taal- en cultuurwetenschappen,voltijd onderwijs,master,0,0,0,0,0,0,0,0,3,15
Limburg,935,MAASTRICHT,WO kleine univ.,master,27YA,transnationale Universiteit Limburg,natuur,n.v.t. (natuur),60125,M Data Science for Decision Making,voltijd onderwijs,master,29,4,25,1,23,4,39,9,51,13
Limburg,935,MAASTRICHT,WO kleine univ.,master,27YA,transnationale Universiteit Limburg,natuur,n.v.t. (natuur),66981,M Artificial Intelligence,voltijd onderwijs,master,62,10,54,11,51,11,53,10,68,20
Limburg,935,MAASTRICHT,WO kleine univ.,master,27YA,transnationale Universiteit Limburg,natuur,n.v.t. (natuur),66990,M Biomedical Sciences,voltijd onderwijs,master,44,77,57,89,62,93,71,100,71,87
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,economie,n.v.t. (economie),50019,B International Business,voltijd onderwijs,bachelor,1023,777,1043,870,1062,911,1056,906,1064,841
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,565,251,542,271,540,279,502,281,579,320
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,economie,n.v.t. (economie),56402,B Fiscale Economie,voltijd onderwijs,bachelor,122,48,96,44,94,41,80,36,77,31
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,economie,n.v.t. (economie),56833,B Econometrie en Operationele Research,voltijd onderwijs,bachelor,128,76,135,82,120,76,140,90,137,81
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56051,B Europese Studies,voltijd onderwijs,bachelor,466,506,461,495,445,462,435,441,394,437
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,228,609,263,746,276,817,311,898,281,914
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),50296,B European Public Health,voltijd onderwijs,bachelor,81,192,93,215,73,233,67,226,58,226
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),56551,B Geneeskunde,voltijd onderwijs,bachelor,327,709,341,712,327,719,333,692,300,700
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),56553,B Gezondheidswetenschappen,voltijd onderwijs,bachelor,165,621,162,645,163,588,136,567,151,607
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),56990,B Biomedische Wetenschappen,voltijd onderwijs,bachelor,240,247,231,245,260,359,314,505,314,555
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,natuur,n.v.t. (natuur),50300,B Data Science and Knowledge Engineering,voltijd onderwijs,bachelor,128,22,163,35,165,34,202,45,254,72
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,recht,n.v.t. (recht),50017,B European Law School,voltijd onderwijs,bachelor,311,473,337,500,329,596,370,633,364,674
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,voltijd onderwijs,bachelor,174,284,163,267,175,265,183,288,207,312
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,recht,n.v.t. (recht),56827,B Fiscaal Recht,voltijd onderwijs,bachelor,104,54,101,59,88,61,87,58,96,55
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,sectoroverstijgend,sectoroverstijgend,50393,B Liberal Arts and Sciences,voltijd onderwijs,bachelor,287,522,328,548,343,557,373,664,392,786
Limburg,935,MAASTRICHT,reguliere inst.,bachelor,21PJ,Maastricht University,taal en cultuur,n.v.t. (taal en cultuur),50004,B Cultuurwetenschappen,voltijd onderwijs,bachelor,131,268,122,250,109,233,98,215,106,238
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60001,M Learning and Development in Organisations,voltijd onderwijs,master,15,40,12,26,10,20,7,33,14,22
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60012,M Economic and Financial Research (research),voltijd onderwijs,master,18,10,13,8,11,2,10,3,10,7
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60013,M Business Research (research),voltijd onderwijs,master,3,2,3,1,6,2,12,5,7,10
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60018,M Information and Network Economics,voltijd onderwijs,master,6,3,4,4,5,2,5,4,1,1
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60019,M International Business,deeltijd onderwijs,master,52,18,42,12,36,10,22,7,19,10
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60019,M International Business,voltijd onderwijs,master,481,272,515,300,457,294,442,272,397,304
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60307,M Econometrics and Operations Research,voltijd onderwijs,master,22,15,26,14,27,15,18,17,19,19
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60321,M Financial Economics,voltijd onderwijs,master,47,16,43,20,33,15,44,15,50,19
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60445,M Global Supply Chain Management and Change,voltijd onderwijs,master,24,12,16,20,24,16,15,13,15,11
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60464,M Human Decision Science,voltijd onderwijs,master,13,13,15,19,11,17,20,23,23,22
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),60959,M Business Intelligence and Smart Services,voltijd onderwijs,master,0,0,0,0,0,0,19,10,43,12
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),66401,M Economics,voltijd onderwijs,master,19,16,22,7,26,7,21,15,19,14
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),66402,M Fiscale Economie,voltijd onderwijs,master,14,12,12,14,10,10,16,7,14,9
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,economie,n.v.t. (economie),67087,M Economics and Strategy in Emerging Markets,voltijd onderwijs,master,0,0,0,0,0,0,0,0,7,8
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60003,M European Public Affairs,voltijd onderwijs,master,17,21,15,15,11,15,15,16,17,12
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60328,M Public Policy and Human Development,voltijd onderwijs,master,67,93,77,111,95,117,81,128,89,145
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60377,M European Studies (research),voltijd onderwijs,master,10,8,11,8,11,7,10,9,10,12
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60465,M Globalisation and Development Studies,voltijd onderwijs,master,6,28,10,31,12,24,12,35,16,37
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66604,M Psychology,voltijd onderwijs,master,112,316,112,292,86,307,80,299,99,298
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),69303,M European Studies,voltijd onderwijs,master,41,47,44,46,31,28,49,53,48,31
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),69305,M Forensic Psychology,voltijd onderwijs,master,2,47,4,50,8,46,9,38,6,45
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),69315,M Sustainability Science and Policy,voltijd onderwijs,master,9,7,19,29,21,38,15,39,16,47
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60006,M Mental Health,deeltijd onderwijs,master,0,9,1,10,0,12,2,10,2,7
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60006,M Mental Health,voltijd onderwijs,master,16,114,25,92,17,92,15,92,13,96
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60007,"M Work, Health and Career",deeltijd onderwijs,master,2,0,0,4,0,4,0,3,1,3
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60007,"M Work, Health and Career",voltijd onderwijs,master,4,13,3,15,5,14,4,22,5,14
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60011,M Epidemiology,deeltijd onderwijs,master,2,3,1,3,1,0,1,1,1,2
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60011,M Epidemiology,voltijd onderwijs,master,10,5,6,12,6,8,5,12,8,17
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60120,M Health Sciences (research),voltijd onderwijs,master,8,17,8,19,8,26,8,25,4,17
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60121,M Cognitive and Clinical Neuroscience (research),voltijd onderwijs,master,60,122,63,127,54,152,60,167,58,175
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60379,M Governance and Leadership in European Public Health,voltijd onderwijs,master,8,12,6,26,4,30,6,29,4,26
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60460,"M Healthcare Policy, Innovation and Management",deeltijd onderwijs,master,7,16,12,20,7,18,9,18,13,21
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60460,"M Healthcare Policy, Innovation and Management",voltijd onderwijs,master,28,49,26,47,43,62,40,78,44,83
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60461,M Health Education and Promotion,deeltijd onderwijs,master,1,13,2,20,4,17,2,22,4,22
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60461,M Health Education and Promotion,voltijd onderwijs,master,6,44,4,46,5,42,16,42,13,63
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60462,M Bewegingswetenschappen,deeltijd onderwijs,master,16,10,15,14,17,8,14,5,16,7
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60462,M Bewegingswetenschappen,voltijd onderwijs,master,38,19,20,25,23,19,21,29,42,36
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60463,M Sports and Physical Activity Interventions,deeltijd onderwijs,master,1,2,0,1,0,0,0,0,0,0
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60463,M Sports and Physical Activity Interventions,voltijd onderwijs,master,2,2,1,0,1,0,0,0,0,0
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),60512,M Health Food Innovation Management,voltijd onderwijs,master,20,63,20,61,22,56,22,66,19,74
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),66551,M Geneeskunde,voltijd onderwijs,master,346,605,337,657,324,660,315,681,337,671
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),66585,M Arts - Klinisch Onderzoeker (research),voltijd onderwijs,master,69,115,67,129,56,146,52,159,50,155
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,gezondheidszorg,n.v.t. (gezondheidszorg),66902,M Global Health,voltijd onderwijs,master,18,67,34,102,30,133,42,123,44,146
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,natuur,n.v.t. (natuur),60955,M Biobased Materials,voltijd onderwijs,master,0,0,2,4,8,5,13,5,14,12
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,natuur,n.v.t. (natuur),60956,M Systems Biology,voltijd onderwijs,master,0,0,2,1,4,3,6,4,9,7
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,recht,n.v.t. (recht),60017,M European Law School,voltijd onderwijs,master,49,65,49,73,46,75,42,78,57,81
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,recht,n.v.t. (recht),60168,M International Laws,voltijd onderwijs,master,11,24,15,28,7,31,7,29,4,26
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,recht,n.v.t. (recht),60169,M Recht en Arbeid,voltijd onderwijs,master,18,40,24,35,13,29,11,35,17,26
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,recht,n.v.t. (recht),60170,M Globalisation and Law,voltijd onderwijs,master,68,124,85,132,81,138,95,166,95,168
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,recht,n.v.t. (recht),60171,"M Forensica, Criminologie en Rechtspleging",voltijd onderwijs,master,38,124,28,122,22,104,27,91,29,100
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,recht,n.v.t. (recht),60459,M International and European Tax Law,voltijd onderwijs,master,26,25,53,26,40,38,40,45,61,55
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,recht,n.v.t. (recht),66451,M Nederlands Recht,voltijd onderwijs,master,81,143,76,145,91,154,70,152,84,154
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,recht,n.v.t. (recht),66827,M Fiscaal Recht,voltijd onderwijs,master,81,41,74,43,65,50,64,50,57,50
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,taal en cultuur,n.v.t. (taal en cultuur),60087,M Kunst- & cultuurwetenschappen,voltijd onderwijs,master,23,87,23,78,18,66,23,71,13,50
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,taal en cultuur,n.v.t. (taal en cultuur),60284,M Europese Studies,voltijd onderwijs,master,8,15,13,8,10,11,7,12,7,14
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,taal en cultuur,n.v.t. (taal en cultuur),60829,M Kunst- & cultuurwetenschappen (research),voltijd onderwijs,master,5,8,6,8,4,3,8,6,6,8
Limburg,935,MAASTRICHT,reguliere inst.,master,21PJ,Maastricht University,taal en cultuur,n.v.t. (taal en cultuur),60830,M Mediastudies,voltijd onderwijs,master,2,20,4,16,4,11,6,16,4,16
Noord-Brabant,758,BREDA,reguliere inst.,bachelor,21UI,Breda University of Applied Sciences,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50756,B Vrijetijdwetenschappen,voltijd onderwijs,bachelor,12,40,13,40,15,52,11,36,15,32
Noord-Brabant,758,BREDA,reguliere inst.,bachelor,21UI,Breda University of Applied Sciences,sectoroverstijgend,sectoroverstijgend,55001,B Tourism (joint degree),voltijd onderwijs,bachelor,0,0,1,0,1,0,1,0,1,1
Noord-Brabant,758,BREDA,reguliere inst.,master,21UI,Breda University of Applied Sciences,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60078,M Leisure and Tourism Studies,voltijd onderwijs,master,7,15,7,14,5,6,5,21,4,15
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),50441,B Industrial Design,voltijd onderwijs,bachelor,187,111,177,139,142,110,279,243,266,270
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),50441,B Industrial Design,voltijd onderwijs,propedeuse bachelor,98,66,99,83,126,136,40,50,26,19
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),55018,B Data Science (joint degree),voltijd onderwijs,bachelor,0,0,0,0,0,0,42,8,93,29
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),55018,B Data Science (joint degree),voltijd onderwijs,propedeuse bachelor,0,0,0,0,42,8,20,5,14,4
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56226,B Biomedische Technologie,deeltijd onderwijs,bachelor,0,0,1,0,0,0,0,0,0,0
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56226,B Biomedische Technologie,voltijd onderwijs,bachelor,113,101,122,137,138,168,274,334,278,360
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56226,B Biomedische Technologie,voltijd onderwijs,propedeuse bachelor,183,156,191,180,183,217,67,63,22,9
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56265,B Technische Innovatiewetenschappen,deeltijd onderwijs,bachelor,0,0,1,0,0,0,0,0,0,0
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56265,B Technische Innovatiewetenschappen,voltijd onderwijs,bachelor,96,43,113,70,148,82,223,165,302,227
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56265,B Technische Innovatiewetenschappen,voltijd onderwijs,propedeuse bachelor,148,70,154,80,148,87,73,33,27,10
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56951,B Bouwkunde,voltijd onderwijs,bachelor,324,138,257,125,211,108,299,188,404,281
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56951,B Bouwkunde,voltijd onderwijs,propedeuse bachelor,173,98,151,101,132,107,50,45,24,18
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56953,B Electrical Engineering,deeltijd onderwijs,bachelor,8,1,7,0,0,0,0,0,0,0
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56953,B Electrical Engineering,voltijd onderwijs,bachelor,188,22,207,12,260,35,540,55,639,70
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56953,B Electrical Engineering,voltijd onderwijs,propedeuse bachelor,283,18,421,33,408,21,171,7,110,2
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56960,B Scheikundige Technologie,voltijd onderwijs,bachelor,133,28,103,31,135,40,211,71,249,93
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56960,B Scheikundige Technologie,voltijd onderwijs,propedeuse bachelor,102,33,125,40,104,36,33,14,24,4
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56962,B Technische Natuurkunde,voltijd onderwijs,bachelor,127,14,169,26,221,30,380,54,477,74
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56962,B Technische Natuurkunde,voltijd onderwijs,propedeuse bachelor,240,28,260,24,261,29,130,16,78,10
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56964,B Technische Informatica,deeltijd onderwijs,bachelor,1,0,0,0,0,0,0,0,0,0
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56964,B Technische Informatica,voltijd onderwijs,bachelor,186,17,216,19,281,30,561,80,597,93
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56964,B Technische Informatica,voltijd onderwijs,propedeuse bachelor,239,17,276,34,359,50,132,19,84,6
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56965,B Technische Wiskunde,deeltijd onderwijs,bachelor,1,1,0,0,0,0,0,0,0,0
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56965,B Technische Wiskunde,voltijd onderwijs,bachelor,48,18,54,18,57,21,129,55,161,76
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56965,B Technische Wiskunde,voltijd onderwijs,propedeuse bachelor,72,22,83,38,116,58,62,30,38,12
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56966,B Werktuigbouwkunde,voltijd onderwijs,bachelor,373,22,354,25,441,28,765,62,859,88
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56966,B Werktuigbouwkunde,voltijd onderwijs,propedeuse bachelor,381,29,408,35,411,32,118,11,57,2
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56994,B Technische Bedrijfskunde,voltijd onderwijs,bachelor,372,102,393,111,420,125,647,191,678,218
Noord-Brabant,772,EINDHOVEN,reguliere inst.,bachelor,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),56994,B Technische Bedrijfskunde,voltijd onderwijs,propedeuse bachelor,320,77,315,91,283,83,110,25,26,1
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60331,M Embedded Systems,voltijd onderwijs,master,87,10,127,20,129,24,146,25,146,31
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60337,M Construction Management and Engineering,voltijd onderwijs,master,68,29,73,38,64,33,73,25,67,23
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60344,M Medical Engineering,voltijd onderwijs,master,32,24,30,25,29,36,27,54,39,71
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60347,M Industrial and Applied Mathematics,voltijd onderwijs,master,51,16,62,17,76,31,72,26,81,24
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60353,M Electrical Engineering,deeltijd onderwijs,master,10,0,11,1,0,0,0,0,0,0
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60353,M Electrical Engineering,voltijd onderwijs,master,203,37,207,42,218,41,217,41,219,33
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60359,M Systems and Control,voltijd onderwijs,master,58,4,81,3,101,11,109,10,114,11
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60428,M Automotive Technology,voltijd onderwijs,master,110,0,145,1,153,4,134,3,134,8
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60430,M Innovation Management,voltijd onderwijs,master,151,20,154,33,145,38,154,36,151,47
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60431,M Human-technology Interaction,voltijd onderwijs,master,38,32,42,37,45,54,62,61,58,65
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60432,M Business Information Systems,voltijd onderwijs,master,44,14,55,19,54,21,55,18,41,9
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60434,"M Architecture, Building and Planning",deeltijd onderwijs,master,3,1,2,0,0,0,0,0,0,0
Noord-Brabant,772,EINDHOVEN,reguliere inst.,master,21PG,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),60434,"M Architecture, Building and Planning",voltijd onderwijs,master,668,226,616,217,511,201,417,203,380,199
